/url","extendedEntities/media/0/video_info/variants/1/bitrate","extendedEntities/media/0/video_info/variants/1/content_type","extendedEntities/media/0/video_info/variants/1/url","extendedEntities/media/0/video_info/variants/2/bitrate","extendedEntities/media/0/video_info/variants/2/content_type","extendedEntities/media/0/video_info/variants/2/url","extendedEntities/media/0/video_info/variants/3/bitrate","extendedEntities/media/0/video_info/variants/3/content_type","extendedEntities/media/0/video_info/variants/3/url","id","inReplyToId","inReplyToUserId","inReplyToUsername","isConversationControlled","isQuote","isReply","isRetweet","lang","likeCount","media/0","possiblySensitive","quoteCount","replyCount","retweetCount","source","text","twitterUrl","type","url","viewCount"
"false","true","https://pbs.twimg.com/profile_banners/1810122406230736897/1723265114","Mon Jul 08 01:23:14 +0000 2024","Andi Rudi Latif - H Bahsanudin
Calon Bupati - Wakil Bupati Tanah Bumbu 2024 - 2029
TANAH BUMBU BERAKSI
#ARB #TANAHBUMBUBERAKSI",,,,,,,,,,,"0","0","2081","13","false","1810122406230736897","false","false","false","South Borneo, Indonesia","51","TanbuBerAKSI","false","https://pbs.twimg.com/profile_images/1815196611590643712/7iDCmBiG_normal.jpg","","51","https://twitter.com/Tanbuberaksi","user","https://x.com/Tanbuberaksi","Tanbuberaksi","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sat Aug 31 11:33:31 +0000 2024","170","186","tanahbumberaksi","187","198","tanahbumbu","199","208","timdozer","209","223","andirudilatif","224","236","bahsanuddin","237","251","muhidinhasnur","252","270","kalimantanselatan","false","true","pic.x.com/pvzmy0nfzl","https://twitter.com/Tanbuberaksi/status/1829844967323549997/video/1","Available","1829844842052198400","271","294","7_1829844842052198400","7_1829844842052198400","https://pbs.twimg.com/ext_tw_video_thumb/1829844842052198400/pu/img/kfUseG0fnjs6h_k2.jpg",,,,,,,,,,,,,,,,,,,,,"1088","720","1088","fit","720","1088","fit","720","680","fit","450","150","crop","150","video","https://t.co/pVzMy0nFzl","45","68","26941","application/x-mpegURL","https://video.twimg.com/ext_tw_video/1829844842052198400/pu/pl/Yu0nKyhhvcZwYAs_.m3u8?tag=12","632000","video/mp4","https://video.twimg.com/ext_tw_video/1829844842052198400/pu/vid/avc1/320x482/gjSf48ORCSqYtYnj.mp4?tag=12","950000","video/mp4","https://video.twimg.com/ext_tw_video/1829844842052198400/pu/vid/avc1/480x724/Gx3vsgDLIL-SMvPs.mp4?tag=12","2176000","video/mp4","https://video.twimg.com/ext_tw_video/1829844842052198400/pu/vid/avc1/720x1088/FqEnQeVjvbFh9Jqm.mp4?tag=12",,,,,,,,,,,,,,,,"false","true","pic.x.com/pvzmy0nfzl","https://twitter.com/Tanbuberaksi/status/1829844967323549997/video/1","Available","1829844842052198400","271","294","7_1829844842052198400","7_1829844842052198400","https://pbs.twimg.com/ext_tw_video_thumb/1829844842052198400/pu/img/kfUseG0fnjs6h_k2.jpg",,,,,,,,,,,,,,,,,,,,,"1088","720","1088","fit","720","1088","fit","720","680","fit","450","150","crop","150","video","https://t.co/pVzMy0nFzl","45","68","26941","application/x-mpegURL","https://video.twimg.com/ext_tw_video/1829844842052198400/pu/pl/Yu0nKyhhvcZwYAs_.m3u8?tag=12","632000","video/mp4","https://video.twimg.com/ext_tw_video/1829844842052198400/pu/vid/avc1/320x482/gjSf48ORCSqYtYnj.mp4?tag=12","950000","video/mp4","https://video.twimg.com/ext_tw_video/1829844842052198400/pu/vid/avc1/480x724/Gx3vsgDLIL-SMvPs.mp4?tag=12","2176000","video/mp4","https://video.twimg.com/ext_tw_video/1829844842052198400/pu/vid/avc1/720x1088/FqEnQeVjvbFh9Jqm.mp4?tag=12","1829844967323549997",,,,"false","false","false","false","in","210","https://pbs.twimg.com/ext_tw_video_thumb/1829844842052198400/pu/img/kfUseG0fnjs6h_k2.jpg","false","0","0","0","Twitter for Android","Dialog antar calon pemimpin! 

Calon Bupati dan Wakil Bupati Tanah Bumbu Andi Rudi - H. Bahsanuddin bertemu Hj.Lisa Halaby Calon Walikota Banjarbaru Kalimantan Selatan.

#tanahbumberaksi
#tanahbumbu
#timdozer
#andirudilatif
#bahsanuddin
#muhidinhasnur
#kalimantanselatan https://t.co/pVzMy0nFzl","https://twitter.com/Tanbuberaksi/status/1829844967323549997","tweet","https://x.com/Tanbuberaksi/status/1829844967323549997","31881"
"false","true","https://pbs.twimg.com/profile_banners/1815619666817236992/1721840236","Tue Jul 23 05:27:31 +0000 2024","https://t.co/bozYmH1p7K adalah portal berita yang menyajikan beragam informasi dari Kalimantan Selatan, serta regional, nasional dan internasional.","kabarkalsel.com","http://kabarkalsel.com","0","23","https://t.co/bozYmH1p7K","kabarkalsel.com","http://kabarkalsel.com","0","23","https://t.co/bozYmH1p7K","0","15","240","32","false","1815619666817236992","false","false","false","Banjarmasin","1","kabarkalsel.com","false","https://pbs.twimg.com/profile_images/1815619735800987648/aTZJP6YL_normal.jpg","","189","https://twitter.com/KK_Mediatech","user","https://x.com/KK_Mediatech","KK_Mediatech","0","photo_image_full_size_large","419","https://pbs.twimg.com/card_img/1831372930393239554/8qwIihXl?format=jpg&name=800x419","800","IMAGE","thumbnail_image","150","https://pbs.twimg.com/card_img/1831372930393239554/8qwIihXl?format=jpg&name=280x150","225","IMAGE","description","Termasuk Hj Erna Lisa Halaby, belasan bakal pasangan calon kepala daerah di Kalimantan Selatan, resmi menerima dokumen B1-KWK dari Partai Golkar.","STRING","domain","kabarkalsel.com","STRING","thumbnail_image_large","320","https://pbs.twimg.com/card_img/1831372930393239554/8qwIihXl?format=jpg&name=800x320_1","480","IMAGE","summary_photo_image_small","202","https://pbs.twimg.com/card_img/1831372930393239554/8qwIihXl?format=jpg&name=386x202","386","IMAGE","thumbnail_image_original","580","https://pbs.twimg.com/card_img/1831372930393239554/8qwIihXl?format=jpg&name=orig","870","IMAGE","photo_image_full_size_small","202","https://pbs.twimg.com/card_img/1831372930393239554/8qwIihXl?format=jpg&name=386x202","386","IMAGE","summary_photo_image_large","419","https://pbs.twimg.com/card_img/1831372930393239554/8qwIihXl?format=jpg&name=800x419","800","IMAGE","thumbnail_image_small","67","https://pbs.twimg.com/card_img/1831372930393239554/8qwIihXl?format=jpg&name=100x100","100","IMAGE","creator","USER","3046069604","thumbnail_image_x_large","580","https://pbs.twimg.com/card_img/1831372930393239554/8qwIihXl?format=png&name=2048x2048_2_exp","870","IMAGE","photo_image_full_size_original","580","https://pbs.twimg.com/card_img/1831372930393239554/8qwIihXl?format=jpg&name=orig","870","IMAGE","vanity_url","vanity_url","kabarkalsel.com","STRING","photo_image_full_size","314","https://pbs.twimg.com/card_img/1831372930393239554/8qwIihXl?format=jpg&name=600x314","600","IMAGE","thumbnail_image_color","22.78","67","185","205","17.97","21","29","49","15.08","34","68","105","9.03","188","205","194","6.54","7","232","222","IMAGE_COLOR","title","Termasuk Lisa Halaby, Belasan Bakal Paslon di Kalsel Terima B1-KWK Golkar","STRING","summary_photo_image_color","22.78","67","185","205","17.97","21","29","49","15.08","34","68","105","9.03","188","205","194","6.54","7","232","222","IMAGE_COLOR","summary_photo_image_x_large","580","https://pbs.twimg.com/card_img/1831372930393239554/8qwIihXl?format=png&name=2048x2048_2_exp","870","IMAGE","summary_photo_image","314","https://pbs.twimg.com/card_img/1831372930393239554/8qwIihXl?format=jpg&name=600x314","600","IMAGE","photo_image_full_size_color","22.78","67","185","205","17.97","21","29","49","15.08","34","68","105","9.03","188","205","194","6.54","7","232","222","IMAGE_COLOR","photo_image_full_size_x_large","580","https://pbs.twimg.com/card_img/1831372930393239554/8qwIihXl?format=png&name=2048x2048_2_exp","870","IMAGE","card_url","card_url","https://t.co/Abq1UI85nY","STRING","summary_photo_image_original","580","https://pbs.twimg.com/card_img/1831372930393239554/8qwIihXl?format=jpg&name=orig","870","IMAGE","production","Swift","12","summary_large_image","https://t.co/Abq1UI85nY","UserUnavailable","User is suspended","Suspended","https://t.co/Abq1UI85nY","Tue Aug 27 09:37:14 +0000 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kabarkalsel.com/1715","https://kabarkalsel.com/1715","74","97","https://t.co/Abq1UI85nY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1828366152751522131",,,,"false","false","false","false","in","0",,"false","0","0","0","Twitter Web App","Termasuk Lisa Halaby, Belasan Bakal Paslon di Kalsel Terima B1-KWK Golkar https://t.co/Abq1UI85nY","https://twitter.com/KK_Mediatech/status/1828366152751522131","tweet","https://x.com/KK_Mediatech/status/1828366152751522131","12"
"true","false","https://pbs.twimg.com/profile_banners/57082635/1604819771","Wed Jul 15 17:45:27 +0000 2009","Ketidaktahuan menyebabkan ketakutan, ketakutan menyebabkan kebencian, dan kebencian selalu mengarah pada ketidakadilan dan kekerasan. - Ibnu Rusyd",,,,,,"law-justice.co/page/redaksi","https://www.law-justice.co/page/redaksi","0","23","https://t.co/s115IQ18pK","0","67474","10947","5924","true","57082635","false","false","false","DKI Jakarta, Indonesia","6088","F_Fathur (journalist) F3Stragic Concept","false","https://pbs.twimg.com/profile_images/1827060111468273664/94z7s-hg_normal.jpg","","37901","https://twitter.com/f_fathur","user","https://x.com/f_fathur","f_fathur","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tue Aug 27 06:33:59 +0000 2024",,,,,,,,,,,,,,,,,,,,,,,"true","pic.x.com/g8mbgwwipq","https://twitter.com/f_fathur/status/1828320035288605077/photo/1","Available","1828320023720480768","284","307","3_1828320023720480768","3_1828320023720480768","https://pbs.twimg.com/media/GV9_X-2X0AAD7p3.jpg","464","828","0","0","475","475","196","0","475","417","225","0","475","238","314","0","475","828","0","0","475","828","475","fit","828","475","fit","828","390","fit","680","150","crop","150","photo","https://t.co/G8MbGwWiPQ",,,,,,,,,,,,,,,,,,,,"1387959208146980864","44","60","DPP Partai Ummat","DPP_PartaiUmmat","1446061949498716162","73","89","Partai Buruh","EXCOPARTAIBURUH",,"true","pic.x.com/g8mbgwwipq","https://twitter.com/f_fathur/status/1828320035288605077/photo/1","Available","1828320023720480768","284","307","3_1828320023720480768","3_1828320023720480768","https://pbs.twimg.com/media/GV9_X-2X0AAD7p3.jpg","464","828","0","0","475","475","196","0","475","417","225","0","475","238","314","0","475","828","0","0","475","828","475","fit","828","475","fit","828","390","fit","680","150","crop","150","photo","https://t.co/G8MbGwWiPQ",,,,,,,,,,,,,,,"1828320035288605077",,,,"false","false","false","false","in","3","https://pbs.twimg.com/media/GV9_X-2X0AAD7p3.jpg","false","0","1","0","Twitter for iPhone","Keren nih !! 
Aditya - Said Abdullah (PPP - @DPP_PartaiUmmat yg didukung @EXCOPARTAIBURUH ) mengajukan Kadernya sendiri untuk walikota Banjarbaru
Membongkar Kemungkinan Kotak Kosong dgn koalisi gemuk Lisa Halaby.

Mari kita Kawal &amp; Pantau Pelaksanaannya sampai perhitungan suara. https://t.co/G8MbGwWiPQ","https://twitter.com/f_fathur/status/1828320035288605077","tweet","https://x.com/f_fathur/status/1828320035288605077","275"
"true","false","https://pbs.twimg.com/profile_banners/340250595/1724120431","Fri Jul 22 11:41:17 +0000 2011","1/2 👨🏼‍💻 - 1/2 🛞🚗",,,,,,"rzkiypratama.xyz","https://www.rzkiypratama.xyz","0","23","https://t.co/B2F57iwO7B","0","3855","1700","516","true","340250595","false","false","false","South Borneo, Indonesia","5142","Putra 🧟‍♂️","false","https://pbs.twimg.com/profile_images/1825719206790443011/-Cj0sWUO_normal.jpg","","102121","https://twitter.com/rzkiypratama","user","https://x.com/rzkiypratama","rzkiypratama","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tue Aug 27 00:13:24 +0000 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"486424363","0","8","mbappeeee","vxxryun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1828224258717426146","1828220659828433089","486424363","vxxryun","false","false","true","false","in","0",,,"0","0","0","Twitter for iPhone","@vxxryun Wah parah nyindir sponsorship lisa halaby","https://twitter.com/rzkiypratama/status/1828224258717426146","tweet","https://x.com/rzkiypratama/status/1828224258717426146","41"
"false","true","https://pbs.twimg.com/profile_banners/1815619666817236992/1721840236","Tue Jul 23 05:27:31 +0000 2024","https://t.co/bozYmH1p7K adalah portal berita yang menyajikan beragam informasi dari Kalimantan Selatan, serta regional, nasional dan internasional.","kabarkalsel.com","http://kabarkalsel.com","0","23","https://t.co/bozYmH1p7K","kabarkalsel.com","http://kabarkalsel.com","0","23","https://t.co/bozYmH1p7K","0","15","240","32","false","1815619666817236992","false","false","false","Banjarmasin","1","kabarkalsel.com","false","https://pbs.twimg.com/profile_images/1815619735800987648/aTZJP6YL_normal.jpg","","189","https://twitter.com/KK_Mediatech","user","https://x.com/KK_Mediatech","KK_Mediatech","0","photo_image_full_size_large","419","https://pbs.twimg.com/card_img/1831372930225471488/JiX1DwAP?format=jpg&name=800x419","800","IMAGE","thumbnail_image","150","https://pbs.twimg.com/card_img/1831372930225471488/JiX1DwAP?format=jpg&name=280x150","225","IMAGE","description","Kian solid modal Hj Erna Lisa Halaby-Wartono di Pilkada Banjarbaru 2024, setelah Partai Gerindra resmi menyerahkan dokumen B1-KWK.","STRING","domain","kabarkalsel.com","STRING","thumbnail_image_large","320","https://pbs.twimg.com/card_img/1831372930225471488/JiX1DwAP?format=jpg&name=800x320_1","480","IMAGE","summary_photo_image_small","202","https://pbs.twimg.com/card_img/1831372930225471488/JiX1DwAP?format=jpg&name=386x202","386","IMAGE","thumbnail_image_original","580","https://pbs.twimg.com/card_img/1831372930225471488/JiX1DwAP?format=jpg&name=orig","870","IMAGE","photo_image_full_size_small","202","https://pbs.twimg.com/card_img/1831372930225471488/JiX1DwAP?format=jpg&name=386x202","386","IMAGE","summary_photo_image_large","419","https://pbs.twimg.com/card_img/1831372930225471488/JiX1DwAP?format=jpg&name=800x419","800","IMAGE","thumbnail_image_small","67","https://pbs.twimg.com/card_img/1831372930225471488/JiX1DwAP?format=jpg&name=100x100","100","IMAGE","creator","USER","3046069604","thumbnail_image_x_large","580","https://pbs.twimg.com/card_img/1831372930225471488/JiX1DwAP?format=png&name=2048x2048_2_exp","870","IMAGE","photo_image_full_size_original","580","https://pbs.twimg.com/card_img/1831372930225471488/JiX1DwAP?format=jpg&name=orig","870","IMAGE","vanity_url","vanity_url","kabarkalsel.com","STRING","photo_image_full_size","314","https://pbs.twimg.com/card_img/1831372930225471488/JiX1DwAP?format=jpg&name=600x314","600","IMAGE","thumbnail_image_color","60.66","169","158","155","23.45","84","98","118","8.56","141","170","176","3.97","89","84","138","1.66","92","74","72","IMAGE_COLOR","title","Gerindra Serahkan B1-KWK, Modal Lisa Halaby-Wartono Kian Solid","STRING","summary_photo_image_color","60.66","169","158","155","23.45","84","98","118","8.56","141","170","176","3.97","89","84","138","1.66","92","74","72","IMAGE_COLOR","summary_photo_image_x_large","580","https://pbs.twimg.com/card_img/1831372930225471488/JiX1DwAP?format=png&name=2048x2048_2_exp","870","IMAGE","summary_photo_image","314","https://pbs.twimg.com/card_img/1831372930225471488/JiX1DwAP?format=jpg&name=600x314","600","IMAGE","photo_image_full_size_color","60.66","169","158","155","23.45","84","98","118","8.56","141","170","176","3.97","89","84","138","1.66","92","74","72","IMAGE_COLOR","photo_image_full_size_x_large","580","https://pbs.twimg.com/card_img/1831372930225471488/JiX1DwAP?format=png&name=2048x2048_2_exp","870","IMAGE","card_url","card_url","https://t.co/hnZm05zxkg","STRING","summary_photo_image_original","580","https://pbs.twimg.com/card_img/1831372930225471488/JiX1DwAP?format=jpg&name=orig","870","IMAGE","production","Swift","12","summary_large_image","https://t.co/hnZm05zxkg","UserUnavailable","User is suspended","Suspended","https://t.co/hnZm05zxkg","Mon Aug 26 10:27:04 +0000 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kabarkalsel.com/1709","https://kabarkalsel.com/1709","63","86","https://t.co/hnZm05zxkg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1828016304084992477",,,,"false","false","false","false","in","0",,"false","0","0","0","Twitter Web App","Gerindra Serahkan B1-KWK, Modal Lisa Halaby-Wartono Kian Solid https://t.co/hnZm05zxkg","https://twitter.com/KK_Mediatech/status/1828016304084992477","tweet","https://x.com/KK_Mediatech/status/1828016304084992477","19"
